Name,Address_full,Phone_number,Website,Rating,Region,Category
Chez poussier,,+33 6 74 94 03 18,https://www.facebook.com/profile.php?id=100087244814169,5.0,Normandie,
FESTI' TRAITEUR,"11 Rue du Donjon, 76000 Rouen, France",+33 6 60 35 73 81,http://www.festitraiteur.fr/,5.0,Normandie,
Antoine Gordien,"5 Rue de l'Église, 61110 Moutiers-au-Perche, France",+33 6 24 03 32 95,http://www.antoine-gordien.fr/,5.0,Normandie,
Le Traiteur,"97 Rue Gambetta, 50120 Cherbourg-en-Cotentin, France",+33 2 33 93 87 00,http://le-traiteur.com/,4.8,Normandie,
La Saloupière Traiteur,"La Croix des Chênes, 61110 Bretoncelles, France",+33 6 13 09 55 01,https://lasaloupiere.wixsite.com/lasaloupieretraiteur,4.9,Normandie,
Bouziat Traiteur,"23 Rte des Vallons, 76780 Argueil, France",+33 2 35 90 50 34,https://www.bouziat-traiteur.fr/,4.3,Normandie,
laurent traiteur rotisserie,"14 Rue Trinqueboeuf, 76570 Pavilly, France",+33 6 62 96 38 19,http://www.herichontraiteur.fr/,4.8,Normandie,
SAVEURS TRAITEUR,"8 Rue Calmette et Guérin, 14100 Lisieux, France",+33 2 31 61 09 13,http://www.saveurs-traiteur.fr/,3.8,Normandie,
Traiteur Maison Coufourier - Rolleville,"3 Rue Abbé Maze, 76133 Rolleville, France",+33 2 35 30 85 89,https://www.traiteur-coufourier.com/,4.9,Normandie,
Ola Paëlla Traiteur,,+33 1 84 60 86 09,http://www.olapaella.fr/,4.7,Normandie,
Manger Bonard,,+33 7 86 20 18 18,https://www.mangerbonard.com/,5.0,Normandie,
Au Vrai Délice,"10 Bd du 11 Novembre, 76140 Le Petit-Quevilly, France",+33 6 88 95 92 13,https://auvraidelice.fr/,4.9,Normandie,
Traiteur de Paris,"Av. Jean York, 76400 Epreville, France",+33 2 99 86 76 00,https://www.traiteurdeparis.fr/,4.4,Normandie,
Gourmet Traiteur,"10 Rue du Général Leclerc, 14510 Houlgate, France",+33 2 31 24 82 33,,4.5,Normandie,
LE COCHON DU MARAIS,,+33 6 12 91 33 92,https://fr-fr.facebook.com/pages/category/Caterer/Le-cochon-du-Marais-102252192162148/,5.0,Normandie,
Lemoy traiteur,"9 Rue Saint-Eloi, 61100 Saint-Georges-des-Groseillers, France",+33 2 33 96 73 56,,4.5,Normandie,
Bonnaire Traiteur Rouen - Traiteur Événementiel - Mariage - Cocktail,"555 Rue du Noyer des Bouttières, 76800 Saint-Étienne-du-Rouvray, France",+33 2 35 72 51 01,https://www.bonnaire.fr/,4.6,Normandie,
Chez Bex,"138 Rue Victor Hugo, 76600 Le Havre, France",+33 7 68 59 68 57,https://chezbex.fr/,4.4,Normandie,
Cédric Havet Traiteur,"Hameau de 6 Résidence des Merisiers, 27110 Graveron-Sémerville, France",+33 6 14 74 26 89,http://cedrichavet-traiteur.fr/,5.0,Normandie,
La bonne maison : Spécialités Provencales,"2 Rue Henri Dunant, 27110 Le Neubourg, France",+33 7 49 40 85 01,,4.7,Normandie,
La Cantine en Folie - ROUEN - Traiteur Festif & Original,"555 Rue du Noyer des Bouttières, 76800 Saint-Étienne-du-Rouvray, France",+33 2 35 72 51 01,https://lacantineenfolie.fr/,5.0,Normandie,
Saveurs du Laizon,"Rue Alfred Zuckerman, 14270 Mézidon Vallée d'Auge, France",+33 2 31 90 22 41,https://www.facebook.com/saveurs.du.laizon/,4.9,Normandie,
Loison Traiteur,"19 Pl. Saint-Sauveur, 14000 Caen, France",+33 2 31 73 25 23,http://loisontraiteur.fr/,4.2,Normandie,
Le Caraïbe,"3 Rue des Gruchets, 27140 Saint-Denis-le-Ferment, France",+33 2 32 55 45 12,,5.0,Normandie,
La Boutique Gourmande,"44 Rue d'Alençon, 14100 Lisieux, France",+33 2 31 32 72 41,,4.5,Normandie,
LA HETRAIE TRAITEUR,"5 Rue Denis Papin, 76330 Port-Jérôme-sur-Seine, France",+33 2 35 31 04 46,https://lahetraietraiteur.eatbu.com/,4.6,Normandie,
lemat'tim brunch traiteur,,+33 7 72 09 77 99,https://www.facebook.com/profile.php?id=100071388745143,3.8,Normandie,
El Mediterraneo TRAITEUR,"22 Rue du Renard, 76000 Rouen, France",+33 9 88 32 92 21,https://aljanatiwasimpro.wixsite.com/my-site-2,4.3,Normandie,
Rotisserie Foodtruck 76 (Draft Hot Sandwich),,+33 6 88 83 61 72,https://rotisserie-foodtruck.fr/,4.9,Normandie,
Top crêpes traiteur,,+33 2 35 79 21 66,http://www.traiteur-crepier.eu/,4.8,Normandie,
L'atelier traiteur 76,,+33 6 72 20 07 62,,5.0,Normandie,
Xavier Hauville Traiteur,,+33 2 35 42 45 97,http://www.groupe-hauville.com/,5.0,Normandie,
MOND,,+33 6 51 86 98 96,,5.0,Normandie,
Ola Couscous Traiteur,,+33 1 84 60 86 09,http://www.olacouscous.fr/,4.7,Normandie,
Traiteur C.Loca Évènementiel,,+33 6 15 15 49 47,http://www.cloca-evenementiel.com/,5.0,Normandie,
MAMA'S TRAITEUR,"30 Rue Gaston Contremoulins, 76300 Sotteville-lès-Rouen, France",,,5.0,Normandie,
Oh My Chef !,"31 Av. de l'Hippodrome, 14000 Caen, France",+33 2 31 28 39 70,http://www.oh-my-chef.fr/,4.9,Normandie,
Cosy Traiteur,"89 Rue Président Wilson, 76600 Le Havre, France",+33 2 32 79 10 93,https://www.cosytraiteur.fr/,5.0,Normandie,
Besoinduntraiteur,"52 Rue du Général Leclerc B52, 76000 Rouen, France",+33 6 30 29 76 87,https://www.besoinduntraiteur.fr/,5.0,Normandie,
La Marigotière Bouget,"Lieu-dit La Marigotière D45 294 route du Mesnil Rousset, 27390 Notre-Dame-du-Hamel, France",+33 2 32 44 78 62,,4.8,Normandie,
Gauthier Traiteur,"Gauthier Traiteur, 61130 Saint-Germain-de-la-Coudre, France",+33 2 33 85 18 18,https://www.gauthier-traiteur.fr/,4.5,Normandie,
E.Leclerc TRAITEUR Rouen,"Centre Commercial St Sever, 76176 Rouen, France",+33 2 35 58 82 70,https://www-traiteur.leclercdrive.fr/passerelle/passerelle.aspx?param=MAGASIN177661&vue=32,4.2,Normandie,
"OHLALA EVENTS · Traiteur · Particuliers et pro · After work, Anniversaires, EVJF - Box apéro & brunch - Caen",,+33 6 59 52 88 35,https://www.ohlala-events.fr/,5.0,Normandie,
Le Breizh Corner | Traiteur Crêpier à domicile & foodtruck,"10 Chem. de Longuemare, 78270 Cravent, France",+33 6 15 26 60 21,http://www.lebreizhcorner.com/,4.9,Normandie,
Leya Traiteur libanais,"4 Rue Rollon, 76000 Rouen, France",+33 9 81 60 68 75,http://leya.ollca.com/,4.6,Normandie,
Nat Deliss Traiteur,,+33 6 21 76 05 13,https://www.nat-deliss-traiteur.fr/,5.0,Normandie,
E.Leclerc TRAITEUR Gonfreville l'Orcher,"Av. du Cantipou, 76700 Gonfreville-l'Orcher, France",+33 2 35 13 45 00,https://www-traiteur.leclercdrive.fr/passerelle/passerelle.aspx?param=MAGASIN097661&vue=32,4.0,Normandie,
Saison Cuisine Colorée,"13 Rue Aristide Briand, 27120 Pacy-sur-Eure, France",+33 6 68 22 08 24,http://www.saison-cuisine-coloree.com/,5.0,Normandie,
E.Leclerc TRAITEUR Normanville Caer,"N154, 27930 Normanville, France",+33 2 32 39 85 00,https://www-traiteur.leclercdrive.fr/passerelle/passerelle.aspx?param=MAGASIN102761&vue=32,4.2,Normandie,
E.Leclerc TRAITEUR Le Houlme,"163 Rue du Général de Gaulle, 76770 Le Houlme, France",+33 2 35 76 86 20,https://www-traiteur.leclercdrive.fr/passerelle/passerelle.aspx?param=MAGASIN137661&vue=32,4.1,Normandie,
sia traiteur,,+33 7 81 58 34 28,https://siatraiteur.wixsite.com/lehavre,5.0,Normandie,
Traiteur Normandie,"La Grande Delle, 14200 Hérouville-Saint-Clair, France",+33 6 98 44 05 61,,,Normandie,
Odassiette Traiteur,"2 Rue des Métiers, 27230 Thiberville, France",+33 2 32 44 58 11,https://odassiette-traiteur.fr/,4.5,Normandie,
Normandie Traiteur Organisation,"5 Rte de Saint-Lô, 50160 Saint-Amand-Villages, France",+33 6 88 18 49 94,https://www.normandyleroy.com/,,Normandie,
BRAISE Traiteur Brasero,"50 Pl. de la Madeleine, 27130 Verneuil d'Avre et d'Iton, France",+33 6 17 30 01 44,https://braise-traiteur-brasero.fr/,5.0,Normandie,
E.Leclerc TRAITEUR Argentan,"21-23 Rue Pierre Bérégovoy, 61200 Argentan, France",+33 2 33 12 18 00,https://www-traiteur.leclercdrive.fr/passerelle/passerelle.aspx?param=MAGASIN026161&vue=32,5.0,Normandie,
"Traiteur Le Havre, LE REFLET DES ILES","127 Rue du Maréchal Joffre, 76600 Le Havre, France",+33 2 35 42 18 60,http://www.lerefletdesiles-traiteur.fr/,4.6,Normandie,
E.Leclerc TRAITEUR Honfleur,"Av. Marcel Liabastre, 14600 Honfleur, France",+33 2 31 89 16 41,https://www-traiteur.leclercdrive.fr/passerelle/passerelle.aspx?param=MAGASIN041461&vue=32,4.4,Normandie,
Traiteur Rouen - Gourmet Réception,,+33 2 21 85 15 20,https://gourmet-reception.com/traiteur-rouen,,Normandie,
La popote de Joe traiteur,,+33 6 19 25 13 15,https://www.lapopotedejoetraiteur.com/,5.0,Normandie,
De Guinguois - Traiteur Normandie,,+33 6 45 98 89 90,,,Normandie,
HART - Havre Réception Traiteur,"15 Rue Collard, 76600 Le Havre, France",+33 6 19 14 30 03,https://www.hart-traiteur.fr/,4.7,Normandie,
Crêperie/Traiteur fait maison,,+33 6 61 70 58 13,https://www.facebook.com/Seblacrepes,,Normandie,
"SAMOUSSA KRÉOL, VOTRE TRAITEUR RÉUNIONNAIS",,+33 6 60 85 87 69,,5.0,Normandie,
La Pause Normande,,+33 6 31 64 66 02,http://lapausenormande.fr/,2.5,Normandie,
Guéret Traiteur,"Pl. Bernard Tissot, 76000 Rouen, France",+33 2 78 77 12 79,http://www.gueret-traiteur.fr/,4.3,Normandie,
E.Leclerc TRAITEUR Caen,"24 Rue Lanfranc, 14000 Caen, France",+33 2 31 85 75 61,https://www-traiteur.leclercdrive.fr/passerelle/passerelle.aspx?param=MAGASIN031461&vue=32,4.6,Normandie,
Buchelay Réception Traiteur,"6 Rue de l'Ardèche, 78200 Buchelay, France",+33 1 30 92 00 89,https://buchelay-traiteur.fr/,4.9,Normandie,
Delaunay Gourmet,,+33 6 15 06 39 26,,,Normandie,
Traiteur la Pommeraie Eure | Caen | Honfleur | Rouen | Paris,"38 Rte de l'Allée des Dames, 27270 Treis-Sants-en-Ouche, France",+33 2 32 45 28 88,https://www.mariages.net/traiteur-mariage/la-pommeraie--e301886,,Normandie,
Y's Event Traiteur,,+33 6 09 21 49 68,,4.9,Normandie,
Normandie,"Rue de la Haie des Chênes 21, 4140 Sprimont, Belgium",+32 4 368 72 35,,4.4,Normandie,
TRAITEUR DES HALLES,"13 Rue Bernardin de Saint-Pierre, 76600 Le Havre, France",+33 2 49 88 42 93,https://www.le-traiteur-des-halles.fr/,4.5,Normandie,
Tourneux Christophe,"40 Rue de la Seine, 14000 Caen, France",+33 2 31 82 37 20,https://tourneux-traiteur.com/,4.8,Normandie,
Normandie réceptions,,+33 6 43 24 97 69,,,Normandie,
Plateau Repas Caen,"7 Av. de la Liberté, 14460 Colombelles, France",+33 2 31 72 40 38,https://plateaurepascaen.com/,5.0,Normandie,
Erisay Réceptions Le Havre Traiteur,"154 Rue Victor Hugo, 76600 Le Havre, France",+33 7 50 15 72 16,http://www.erisay-traiteur.fr/,5.0,Normandie,
La popote de Joe traiteur,,+33 6 19 25 13 15,https://www.lapopotedejoetraiteur.com/,,Normandie,
Kidira traiteur,,+33 6 46 28 35 18,https://www.kidiratraiteur.com/,4.2,Normandie,
Inséparables Traiteur,,+33 6 75 50 67 97,https://www.inseparablestraiteur.com/,,Normandie,
Alexandre Didier,"20 Rue de l'Epagne, 14750 Saint-Aubin-sur-Mer, France",+33 2 31 86 22 05,,4.2,Normandie,
Traiteur de la côte d’Opale et d’Albâtre,,+33 6 49 75 51 72,,,Normandie,
Conseil Cuisine Création - Chief Charles Soussin,,+33 6 16 82 51 52,,5.0,Normandie,
Ged,,+33 6 30 85 14 87,,5.0,Normandie,
Chef à la Maison,,+33 6 12 30 05 70,https://www.facebook.com/ChefalaMaison76/,,Normandie,
traiteur georges,"88 Rue du Général de Gaulle, 76770 Le Houlme, France",+33 6 58 72 75 49,https://traiteurgeorges3.wixsite.com/traiteur,5.0,Normandie,
Clément Ponseel Chef Privé/Brasero,"86 Rue Berthier, 14360 Trouville-sur-Mer, France",+33 7 67 14 07 52,https://clementponseel.com/,5.0,Normandie,
E.Leclerc TRAITEUR Louviers,"ZI des Prés, 27400 Louviers, France",+33 2 32 25 19 90,https://www-traiteur.leclercdrive.fr/passerelle/passerelle.aspx?param=MAGASIN092761&vue=32,3.8,Normandie,
L.M. Traiteur,,+33 7 88 66 47 41,,,Normandie,
Newrest restauration,"1018 Bd de Normandie, 76360 Barentin, France",+33 2 35 91 21 39,,3.7,Normandie,
Un Ptit Bou de Normandie,,+33 6 32 93 78 99,,,Normandie,
Ola Paëlla Traiteur,,+33 1 84 60 86 09,https://www.olapaella.fr/,5.0,Normandie,
La Cuisine de Ludi,,+33 6 26 12 79 36,https://lacuisinedeludi4.wixsite.com/traiteur,5.0,Normandie,
Concept GOURMANDS,"103f Rue d'Elbeuf, 76100 Rouen, France",+33 7 67 37 85 23,,,Normandie,
Olé Bodéga,,+33 2 37 43 53 72,http://www.olebodega-paella.com/,4.5,Normandie,
Chédru Jean-Didier,"62 Rue Henri Messager, 76170 Lillebonne, France",+33 2 35 38 06 01,,4.5,Normandie,
"Traiteur, traiteur 27, traiteur 76, traiteur 78","36 Rue Marcel Lefèvre, 27700 Les Andelys, France",+33 2 32 54 02 98,http://petitgourmet-traiteur-normandie.com/contact,,Normandie,
La Spirale Gourmande,"D955, 28160 Unverre, France",+33 2 37 97 20 36,http://www.spirale-gourmande.com/,4.6,Normandie,
HOPECOOK traiteur,,+33 7 49 40 67 12,,,Normandie,
Zakia Traiteur St Romain,,+33 6 52 63 87 81,,,Normandie,
La Rotisserie Vernon,"68 Rue d'Albufera, 27200 Vernon, France",+33 6 64 22 03 91,,4.8,Normandie,
La Maison Camus - Traiteur au Brasero,"04 Grande Place, 95450 Le Perchay, France",+33 6 45 48 06 18,https://www.lamaisoncamus.fr/,5.0,Normandie,
Les Délices Créoles,,,,,Normandie,
Traiteur et Loir,,+33 6 63 17 28 16,,5.0,Normandie,
"Traiteur, traiteur 27, traiteur 76, traiteur 78","22 Rte de Saint-Pierre, 27430 Porte-de-Seine, France",+33 2 32 50 79 30,http://petitgourmet-traiteur-normandie.com/contact,,Normandie,
L’escale des saveurs Yvelines 78 - Food truck - Traiteur - Évènementiel,,+33 6 31 52 73 53,https://lescale-des-saveurs.fr/,5.0,Normandie,
Carrefour Traiteur,"Chem. de la Prte Rouge, 27150 Étrépagny, France",+33 2 32 27 18 18,https://traiteur.carrefour.fr/,,Normandie,
La Maison Du Chef Normand,"28 La Forge lieu dit, 14130 Saint-Philbert-des-Champs, France",+33 2 31 64 86 10,https://www.lamaisonduchefnormand.fr/,4.5,Normandie,
Instants Gourmands Traiteur,,+33 7 67 46 15 89,,5.0,Normandie,
Normandie Réception,"14 Rue des Lilas, 76210 Lintot, France",+33 7 82 32 40 45,https://www.normandie-reception.fr/,4.6,Normandie,
SATI Normandie,,+33 7 82 44 51 39,,,Normandie,
AROMES ET PASSIONS - ROUEN-Normandie,"9 Rue de l'Aubette STORAGE 24, 76000 Rouen, France",+33 6 08 53 33 01,http://www.aromesetpassions.com/,4.2,Normandie,
Logpeta traiteur,,+33 7 49 47 47 86,,,Normandie,
Traiteur Jordan Gout,,+33 6 49 18 87 95,https://www.jordangout.com/,5.0,Normandie,
Boucherie Charcuterie Traiteur - Olivier Cruz - Boucherie de la Victoire,"10 Rue de Normandie, 60200 Compiègne, France",+33 3 44 20 27 69,http://www.boucherie-cruz.fr/,4.6,Normandie,
Beurre Noisette Traiteur,,+33 7 71 93 72 19,http://bntraiteur.fr/,5.0,Normandie,
La Table d'Erisay,"Rue Francis Poulenc, 76130 Mont-Saint-Aignan, France",+33 2 35 74 05 41,https://www.latablederisay.fr/,4.4,Normandie,
Chaud comme la Breizh,"Basse, 61400 La Chapelle-Montligeon, France",+33 6 30 18 04 77,http://chaudcommelabreizh-crepier.fr/,5.0,Normandie,
Traiteur Le Louvre,,+33 6 83 39 13 40,https://www.facebook.com/lelouvreperche/,,Normandie,
Traiteur O' Plaisir gourmand,"131 Av. des Marronniers, 33700 Mérignac, France",+33 7 69 32 04 56,http://www.oplaisirgourmand.fr/,4.9,Nouvelle-Aquitaine,
Mood Traiteur,"Rue Lucien Faure, 33300 Bordeaux, France",+33 6 80 87 45 50,http://www.moodtraiteur.com/,4.9,Nouvelle-Aquitaine,
Deval Traiteur,"83 Rte de Créon, 33750 Saint-Germain-du-Puch, France",+33 5 57 84 90 13,http://www.deval-traiteur.com/,4.9,Nouvelle-Aquitaine,
CAP'ZOE traiteur,,+33 5 56 88 80 31,https://www.capzoefoodbyme.fr/,5.0,Nouvelle-Aquitaine,
O Mets Raffinés Traiteur,"13 Rue du Val de l'Eyre, 33380 Marcheprime, France",+33 6 17 91 44 66,http://ometsraffines.fr/,4.9,Nouvelle-Aquitaine,
L'Oeil à la Bouche,"31 Lot. le Clos de Lacaussade, 33320 Le Taillan-Médoc, France",+33 6 64 69 64 80,https://www.loeilalabouche.fr/,5.0,Nouvelle-Aquitaine,
Au Plaisir Des Papilles,"7 Av. Gutenberg, 33510 Andernos-les-Bains, France",+33 6 60 53 97 58,http://auplaisirdespapilles.fr/,4.9,Nouvelle-Aquitaine,
Traiteur Tendance Et Tradition,"Av. Lagraula, 33450 Saint-Sulpice-et-Cameyrac, France",+33 5 56 30 82 78,https://www.traiteur-tendance-tradition.fr/,4.8,Nouvelle-Aquitaine,
Cook for you,,+33 7 88 78 38 14,https://www.cookforyoutraiteur.com/,4.8,Nouvelle-Aquitaine,
MONBLANC TRAITEUR,"2409 Av. de Bordeaux, 33127 Saint-Jean-d'Illac, France",+33 5 56 21 61 32,http://www.monblanc-traiteur.com/,4.8,Nouvelle-Aquitaine,
VBTraiteur,"6 bis All. de Mégévie, 33170 Gradignan, France",+33 5 56 87 30 26,http://vbtraiteur.fr/,4.9,Nouvelle-Aquitaine,
Mamita Traiteur,,+33 7 63 08 12 63,https://www.cantinemamita.fr/,5.0,Nouvelle-Aquitaine,
Le Traiteur Landais,"113 Imp. de Cantegrit O, 40110 MORCENX, France",+33 5 58 07 98 88,http://www.traiteur-landais.fr/?utm_source=gmb,4.9,Nouvelle-Aquitaine,
La cuisine de Lucien,"246 Chem. de Bernadou, 64300 Balansun, France",+33 7 87 76 93 57,,4.9,Nouvelle-Aquitaine,
Aynel Traiteur,"1 Bis Rue Nicolas Brémontier, 33830 Belin-Béliet, France",+33 5 57 80 47 35,http://www.aynel-traiteur.com/,4.8,Nouvelle-Aquitaine,
Traiteur Rousseau,"247 Bd Godard, 33110 Le Bouscat, France",+33 5 56 36 99 98,https://www.traiteurrousseau.com/,4.9,Nouvelle-Aquitaine,
"La Mignonnette, cheffe et traiteur à domicile & en livraison","81 Rue de Rivière, 33000 Bordeaux, France",+33 6 23 42 74 12,https://lamignonnette.fr/,4.9,Nouvelle-Aquitaine,
"Maiky traiteur évènementiel Charente, Charente-Maritime, Gironde","34 Route De Monsotsoreau, 16360 Chantillac, France",+33 6 50 01 53 21,http://www.maikytraiteur33.com/,4.9,Nouvelle-Aquitaine,
Casa Tapas,"96 Av. de Labarde, 33300 Bordeaux, France",+33 6 26 40 35 40,http://www.casa-tapas.fr/,4.9,Nouvelle-Aquitaine,
NATURE ET GOURMANDISE TRAITEUR,"9 ZA le Limancet, 33880 Saint-Caprais-de-Bordeaux, France",+33 6 01 36 68 18,https://nature-et-gourmandise-traiteur-bordeaux.eatbu.com/,5.0,Nouvelle-Aquitaine,
Traiteur Joel Castano,,+33 6 64 85 00 21,https://traiteur-domicile-gradignan-joel-castano.com/,4.9,Nouvelle-Aquitaine,
Capdevielle Traiteur,"11 Rue de Fieuzal, 33520 Bruges, France",+33 5 57 19 09 99,http://capdevielle.com/,4.8,Nouvelle-Aquitaine,
Chef à domicile Bernadet,"4 Rue de la Lamproie, 33270 Floirac, France",+33 6 40 55 95 78,http://chefadomicilebernadet.fr/,5.0,Nouvelle-Aquitaine,
Adour Traiteur,,+33 6 08 92 20 44,http://www.adourtraiteur.com/,4.7,Nouvelle-Aquitaine,
Lassuderie Traiteur,"7 Pl. de la Rotonde, 33600 Pessac, France",+33 6 61 04 15 62,https://lassuderie-traiteur.fr/,4.8,Nouvelle-Aquitaine,
La Poêlée de Papa,"88 Chem. de Vignac, 33360 Carignan-de-Bordeaux, France",+33 6 60 77 00 02,,4.9,Nouvelle-Aquitaine,
Lefevre Traiteur,"23 Av. de la Madeleine, 33170 Gradignan, France",+33 5 56 89 87 13,http://www.lefevre-traiteur.fr/,5.0,Nouvelle-Aquitaine,
Chez Anna Traiteur événementiel,,+33 7 53 00 96 69,http://www.chez-anna.com/,4.4,Nouvelle-Aquitaine,
Lulu Traiteur,"Rue des Cerisiers, 40230 Josse, France",+33 7 83 15 31 20,http://www.lulutraiteur.com/,5.0,Nouvelle-Aquitaine,
Traiteur Willy M,,+33 6 50 43 24 66,https://traiteur-blaye.com/,5.0,Nouvelle-Aquitaine,
En Faim Prêt de Chez Vous,"Rue Jean Briaud, 33700 Mérignac, France",+33 6 18 08 67 30,http://www.enfaimpretdechezvous.fr/,4.8,Nouvelle-Aquitaine,
JOIES BORDEAUX TRAITEUR,,+33 6 71 58 71 69,https://www.joies-bordeaux.com/,5.0,Nouvelle-Aquitaine,
Le Piou Toqué,,+33 6 61 85 12 40,https://www.lepiou-toque.com/,5.0,Nouvelle-Aquitaine,
Le Réveil Des Papilles,,+33 6 28 23 79 06,https://www.instagram.com/lereveildespapilles,4.9,Nouvelle-Aquitaine,
Authentique Brunch - Traiteur événementiel du brunch à l'apéro,"15 Rue de la Somme, 33500 Libourne, France",+33 9 70 70 18 28,https://authentiquebrunch.com/,5.0,Nouvelle-Aquitaine,
Les Trois Sens Traiteur,"235 All. Isaac Newton, 33127 Saint-Jean-d'Illac, France",+33 5 56 77 57 42,https://www.les3sens-traiteur.fr/,5.0,Nouvelle-Aquitaine,
Au Fin Palais,"19 Rue de Prompsault, 24660 Sanilhac, France",+33 9 70 35 53 65,http://www.traiteur-vitel-24.com/,4.8,Nouvelle-Aquitaine,
montendre traiteur,"allée manfred lampl avenue de onda village de vancances, 17130 Montendre, France",+33 6 80 84 00 18,http://www.montendretraiteur.com/,4.8,Nouvelle-Aquitaine,
Venestrat traiteur,,+33 7 49 87 81 75,,5.0,Nouvelle-Aquitaine,
toc toque cuisine,"1620 Chem. de Gastineau, 33240 Saint-André-de-Cubzac, France",+33 6 03 95 91 07,http://www.toctoquecuisine.fr/,5.0,Nouvelle-Aquitaine,
Traiteur Rousseau P.W.,"14 bis Le Bourg, 33760 Faleyras, France",+33 6 80 36 25 07,https://www.traiteur-rousseau-pw.fr/,4.6,Nouvelle-Aquitaine,
Capelli Traiteur,,+33 6 42 47 55 38,https://capellitraiteur.wordpress.com/26-2/?frame-nonce=08c2748782,5.0,Nouvelle-Aquitaine,
Traiteur les délices de karima Libourne,,+33 6 52 94 48 67,https://www.facebook.com/lesdelicesdekarima.karima,4.9,Nouvelle-Aquitaine,
Bonnieu Traiteur,"24 Chem. de Blanquette, 33770 Salles, France",+33 6 76 80 37 07,http://www.bonnieu-traiteur.fr/,4.8,Nouvelle-Aquitaine,
Tic Toque Traiteur Végétarien,"9 Rue Billaudel, 33800 Bordeaux, France",+33 9 51 38 42 59,https://tictoque-bdx.fr/,4.9,Nouvelle-Aquitaine,
"Toque et moi, j'arrive ! - Traiteur sur Bordeaux et la Gironde",,+33 6 17 78 55 75,http://www.toqueetmoi.com/,4.6,Nouvelle-Aquitaine,
Révélations des papilles,"26 Av. du Pont de l'Orient, 33600 Pessac, France",+33 6 79 20 64 42,http://revelations-des-papilles.eatbu.com/,4.8,Nouvelle-Aquitaine,
Traiteur délices en cuisine,"Rue des Chasseurs, 64000 Pau, France",+33 6 33 48 40 59,https://www.traiteurdelicesencuisine.com/,4.9,Nouvelle-Aquitaine,
Le Nectar Traiteur,"13 Rue Mercier, 33450 Montussan, France",+33 5 56 32 15 30,https://www.lenectar.fr/,4.7,Nouvelle-Aquitaine,
Traiteur Happy Apéro bordeaux,"36 Av. Alsace Lorraine, 33200 Bordeaux, France",+33 6 82 58 18 44,http://happyapero33traiteur.com/,4.9,Nouvelle-Aquitaine,
Les Gastron'home Périgourdins,"11 Voie Gutenberg, 24100 Bergerac, France",+33 5 53 58 94 56,https://les-gastron-home-perigourdins.fr/,4.7,Nouvelle-Aquitaine,
Yannick Rouzie Traiteur SARL,"667 Rte des Pins, 33190 Fontet, France",+33 5 56 71 00 48,http://www.rouzie-traiteur.com/,4.7,Nouvelle-Aquitaine,
"Maxime Roussarie - Chef Privé, Traiteur",,+33 7 71 05 49 50,https://maximeroussarie.com/,4.5,Nouvelle-Aquitaine,
Saveur et gourmandises,,+33 5 33 14 01 52,https://traiteur-sainte-bazeille.fr/,5.0,Nouvelle-Aquitaine,
Les Traiteurs De France,"33 bis Av. Charles de Gaulle, 33200 Bordeaux, France",+33 5 56 08 54 62,http://www.facebook.com/pages/Les-Traiteurs-de-France/1895488767364836,4.8,Nouvelle-Aquitaine,
L'Essentiel de Monblanc,"2409 Av. de Bordeaux, 33127 Saint-Jean-d'Illac, France",+33 5 57 97 37 53,https://essentiel.monblanc-traiteur.com/,4.9,Nouvelle-Aquitaine,
Les Voraces Traiteur,,+33 6 78 46 12 58,http://lesvoracestraiteur.fr/,5.0,Nouvelle-Aquitaine,
Le Temps d'une pause,"170 Cr Balguerie Stuttenberg, 33300 Bordeaux, France",+33 5 56 50 66 18,http://www.letempsdunepause.fr/,5.0,Nouvelle-Aquitaine,
Bisca Traiteur,"Pl. du Marché, 40600 Biscarrosse, France",+33 6 83 90 13 92,https://www.biscatraiteurpaella.fr/,5.0,Nouvelle-Aquitaine,
Mary a traiteur,,+33 6 14 10 50 31,http://www.mary-a-traiteur.fr/,5.0,Nouvelle-Aquitaine,
Carine Cuisine,"43 Chem. de Lagardère, 40360 Donzacq, France",+33 6 82 95 04 25,,4.8,Nouvelle-Aquitaine,
GRIL ARTS ET TERROIR,"17 Chem. des Bouvreuils, 33650 Saint-Médard-d'Eyrans, France",+33 6 71 75 75 85,https://gril-arts-et-terroir.com/,4.9,Nouvelle-Aquitaine,
Ô Food Trement Bon Traiteur Bordeaux,"26 Av. René Duhourquet, 33130 Bègles, France",+33 7 69 52 79 00,,5.0,Nouvelle-Aquitaine,
Le Cuisinier itinérant,"23 Rue Bazter, 64210 Arbonne, France",+33 6 61 02 04 63,https://www.lecuisinieritinerant.fr/,5.0,Nouvelle-Aquitaine,
Atlantique Traiteur,"56 Rue Forestière, 40600 Biscarrosse, France",+33 5 58 82 00 08,https://www.atlantique-traiteur-aquitaine.fr/?utm_source=gmb,5.0,Nouvelle-Aquitaine,
Houri traiteur,,+33 6 84 58 07 06,https://www.traiteurhouri.com/,5.0,Nouvelle-Aquitaine,
La Fourchette Landaise,,+33 6 19 33 61 55,https://www.facebook.com/profile.php?id=100086217827550,5.0,Nouvelle-Aquitaine,
"Jean Sébastien ""Mes délices traiteurs","23 bis Av. Fernand Pillot, 33133 Galgon, France",+33 6 13 23 24 76,,4.9,Nouvelle-Aquitaine,
